,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Bar-headed Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emperor Goose,0.0015,0.0015,0.0001659,0.0,0.0015,0.0,0.0,0.0,0.0,9.39e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001104,0.0001227,0.0001245,0.0,0.0,0.0,0.0,0.0,0.0001008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow Goose,0.0088402,0.0110147,0.0098739,0.0064086,0.0048434,0.0037021,0.0030438,0.0020528,0.0028881,0.0047874,0.0029437,0.0035862,0.0020776,0.0019084,0.0038394,0.0031584,0.0026137,0.0018425,0.0023209,0.000943,0.0002419,0.0015,0.0,0.0004402,0.0002909,0.0010642,0.0001251,0.0014728,0.0005521,0.0002454,0.0006223,0.0014126,0.0009031,0.001086,0.0029254,0.0032123,0.012505,0.0201768,0.0302682,0.0334542,0.0162992,0.024885,0.0204302,0.0146175,0.0094994,0.0134727,0.0123753,0.0094366
Ross's Goose,0.006306,0.0014186,8.3e-05,0.0002589,0.0001614,0.0015,0.0,0.0015,0.0,0.0,0.0,0.0,7.69e-05,0.0,0.0001669,0.0001263,6.88e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graylag Goose,0.0001768,0.0001669,8.3e-05,0.0002589,0.0003229,7.26e-05,5.64e-05,0.0,0.0002407,0.0002816,8.66e-05,0.0,0.0,9.09e-05,8.35e-05,0.0001263,6.88e-05,7.09e-05,0.0,6.29e-05,0.0,0.0,0.0,0.0,9.7e-05,0.0,0.0,9.2e-05,0.0001104,0.0001227,0.0001245,0.0001766,0.0,0.0,0.0003657,9.73e-05,0.0001008,0.0,0.0002554,0.0,0.0,0.0001179,0.0,8.97e-05,0.0001067,0.0003777,0.0001201,6.94e-05
Swan Goose,0.0001179,0.0015,0.0003319,0.0003237,0.0003229,7.26e-05,0.0001127,9.33e-05,0.0,0.0,0.0,0.0,0.0015,9.09e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001245,0.0,0.0,0.0001207,0.0,0.0001947,0.0,0.0,0.0,0.0001813,0.0,0.0,0.0003605,0.0003587,0.0,0.0002518,0.0004806,0.0004163
Greater White-fronted Goose,0.0170321,0.0136849,0.0116163,0.0113283,0.0077494,0.0063879,0.0058621,0.0101708,0.0086643,0.0082606,0.007013,0.0071724,0.0070022,0.0085423,0.0095151,0.0089066,0.0048146,0.0012047,0.0020008,0.0013202,0.0006451,0.0003984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004909,0.0015,0.0007063,0.0013044,0.0016894,0.0039005,0.0285214,0.0287414,0.0323056,0.0263091,0.018767,0.0132693,0.0158038,0.0170653,0.0179356,0.0115274,0.0107026,0.0138171,0.0131835
Brant,0.0165606,0.0161883,0.0208264,0.0169601,0.0167904,0.0148084,0.0130207,0.0253802,0.0238267,0.0258143,0.032381,0.0293581,0.0297014,0.0297165,0.033887,0.0271619,0.0145815,0.0051733,0.0014406,0.0002515,8.06e-05,0.0,0.0,0.0,0.0,0.0,0.0002502,9.2e-05,0.0,0.0001227,0.0,0.0002649,0.0015,0.0001207,0.0,9.73e-05,0.0015,0.0003401,0.0006386,0.0029918,0.0042838,0.0090813,0.0122581,0.0127343,0.0153698,0.0125913,0.0123753,0.015612
Barnacle Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001202,0.0,0.0,0.0,0.0,0.0
Cackling Goose,0.0704856,0.0630841,0.060239,0.0651864,0.043187,0.0354239,0.0281833,0.0410563,0.0300842,0.0432742,0.0385281,0.0343423,0.0218529,0.0275354,0.0406477,0.024193,0.0093542,0.0071575,0.0041617,0.0035833,0.0018545,0.0,0.0,0.0,0.0,0.0003547,0.0,0.0002761,0.0003313,0.0002454,0.0008712,0.0003531,0.0001003,0.0008447,0.0158459,0.0435121,0.0465914,0.0795738,0.0855683,0.087398,0.0653014,0.0798443,0.0754717,0.0769438,0.0549685,0.067867,0.0702872,0.0592562
