,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Emperor Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027322,0.0026525,0.0024876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow Goose,0.0083916,0.0275229,0.0070053,0.0,0.0038536,0.0101626,0.0037106,0.0015,0.0048622,0.0019608,0.0018587,0.008879,0.0096308,0.0062112,0.0080645,0.0031315,0.0090791,0.0058685,0.0028777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053691,0.0080483,0.0172414,0.0523139,0.075067,0.0155039,0.035316,0.0132325,0.0208955,0.015873,0.0,0.0090361,0.0170648
Ross's Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graylag Goose,0.0,0.0,0.0,0.0,0.0019268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater White-fronted Goose,0.0265734,0.0697248,0.0262697,0.0532959,0.0597303,0.0589431,0.0686456,0.0700389,0.0664506,0.0509804,0.0408922,0.0466149,0.0658106,0.0232919,0.0389785,0.045929,0.0285344,0.0035211,0.0,0.001032,0.0013624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0015,0.0133038,0.0038986,0.0912752,0.1167002,0.1321839,0.0945674,0.0442359,0.0348837,0.0594796,0.1172023,0.119403,0.0502646,0.0392157,0.0542169,0.0255973
Brant,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051195
Cackling Goose,0.0391608,0.0422018,0.0297723,0.0336606,0.0366089,0.0853659,0.0241187,0.036965,0.0421394,0.0372549,0.0408922,0.0310766,0.0417335,0.0248447,0.0537634,0.0469729,0.0298314,0.0258216,0.0057554,0.0113519,0.0190736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.1194631,0.1066398,0.1187739,0.138833,0.0965147,0.0794574,0.0613383,0.0623819,0.0910448,0.047619,0.0364146,0.0783133,0.0460751
Canada Goose,0.5608392,0.6366972,0.6847636,0.7124825,0.7398844,0.7642276,0.7940631,0.848249,0.8184765,0.8921569,0.8921933,0.8879023,0.8812199,0.9052795,0.9206989,0.9050104,0.9027237,0.9143192,0.9251799,0.8998968,0.8978202,0.8871252,0.8995434,0.9258517,0.8923077,0.924933,0.9002558,0.8414634,0.8442623,0.8541114,0.8233831,0.7894737,0.8162879,0.8669623,0.8635478,0.7959732,0.7887324,0.7298851,0.7203219,0.6970509,0.7073643,0.6840149,0.7391304,0.7358209,0.6851852,0.6386555,0.6295181,0.556314
Mute Swan,0.0055944,0.0055046,0.0070053,0.002805,0.0115607,0.0081301,0.0037106,0.0077821,0.0016207,0.0078431,0.0055762,0.0022198,0.0048154,0.0015528,0.0040323,0.0041754,0.0129702,0.0070423,0.0043165,0.003096,0.0,0.005291,0.0022831,0.006012,0.0051282,0.0160858,0.0076726,0.0034843,0.010929,0.0132626,0.0099502,0.0030075,0.0113636,0.0110865,0.0116959,0.0134228,0.0140845,0.0114943,0.0140845,0.0067024,0.0135659,0.0130112,0.0132325,0.0089552,0.0185185,0.022409,0.0240964,0.0017065
Trumpeter Swan,0.4433566,0.4788991,0.4868651,0.3997195,0.2928709,0.2804878,0.309833,0.2898833,0.1166937,0.0039216,0.0055762,0.0022198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040241,0.0013405,0.0968992,0.169145,0.2173913,0.4029851,0.510582,0.4565826,0.5481928,0.5324232
