,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Emu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chilean Tinamou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulvous Whistling-Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bar-headed Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emperor Goose,0.0004542,0.0015267,8.09e-05,0.0001246,0.0001966,0.0004173,0.0001759,0.0003002,0.0001461,4.51e-05,8.13e-05,7.02e-05,3.97e-05,4.2e-05,1.9e-05,5.6e-05,0.0015,3.03e-05,0.0,0.0,0.0,0.0015,0.0015,0.0,0.0015,0.0015,0.0015,0.0015,2.5e-05,2.59e-05,2.59e-05,0.0,0.0,0.0015,2.47e-05,0.0015,7.5e-05,2.59e-05,5.91e-05,0.0003366,0.0019601,0.0015,6.02e-05,0.0001978,0.000358,0.0011943,0.0009791,0.0004828
Snow Goose,0.0307178,0.0300115,0.0302368,0.0287904,0.0253778,0.0218815,0.0200679,0.0260052,0.0237678,0.0228959,0.0230752,0.0212868,0.0152447,0.0145472,0.0130287,0.0095664,0.0056903,0.0032013,0.0024965,0.001054,0.0002666,0.0003895,0.0002289,0.0003208,0.0004237,0.000477,0.0003388,0.0004013,0.000524,0.000518,0.0008821,0.0009802,0.0014285,0.000826,0.0015096,0.007201,0.0245719,0.0385949,0.0554243,0.0562814,0.0525909,0.0538669,0.0420289,0.0366015,0.0336237,0.0312716,0.0248736,0.0304708
Ross's Goose,0.0020135,0.0007529,8.09e-05,0.0001558,0.0001092,0.0001089,0.0001083,9.24e-05,8.35e-05,0.0001805,0.0004269,0.0006178,0.0004168,0.0004618,0.0007217,0.0006023,0.0005528,0.0005765,0.0001047,0.0015,1.78e-05,0.0,0.0,0.0,0.0,2.51e-05,0.0015,1.91e-05,0.0,2.59e-05,0.0,7.13e-05,0.0003917,2.58e-05,0.0015,2.09e-05,0.000125,0.0003106,0.0002067,0.0001473,0.0002209,0.0005347,0.0004212,0.0002858,0.0002983,0.0003143,0.0001588,0.0001897
Graylag Goose,0.0001514,0.0001882,0.0001618,0.0002337,0.0001092,0.0002903,6.77e-05,6.93e-05,0.0001878,0.0001579,4.07e-05,0.0001123,1.98e-05,2.1e-05,5.7e-05,7e-05,0.0001138,7.59e-05,3.49e-05,3.81e-05,1.78e-05,0.0,6.24e-05,3.56e-05,4.46e-05,0.0,0.0001042,5.73e-05,9.98e-05,0.0001295,0.0001038,8.91e-05,0.0001382,7.74e-05,0.0001485,8.35e-05,0.0001,5.18e-05,0.0002362,0.0001262,2.76e-05,0.0002814,9.03e-05,8.79e-05,5.97e-05,0.0001571,7.94e-05,0.0001552
Swan Goose,7.57e-05,2.09e-05,0.0001618,0.000187,0.0001529,7.26e-05,4.06e-05,4.62e-05,2.09e-05,6.77e-05,2.03e-05,4.21e-05,1.98e-05,2.1e-05,0.0,0.0,0.0,1.52e-05,1.75e-05,0.0,0.0,0.0,4.16e-05,0.0015,2.23e-05,5.02e-05,5.21e-05,1.91e-05,2.5e-05,0.0,2.59e-05,5.35e-05,0.0,2.58e-05,2.47e-05,0.0001252,2.5e-05,0.0,0.0,6.31e-05,2.76e-05,2.81e-05,9.03e-05,0.0001759,8.95e-05,9.43e-05,0.0001852,0.0001724
Greater White-fronted Goose,0.0124446,0.0105825,0.0095868,0.0088178,0.0084302,0.0079107,0.0064006,0.0113167,0.0108927,0.0106923,0.0109785,0.0119492,0.0114534,0.0133297,0.0190682,0.0217099,0.0144697,0.0061144,0.0027758,0.0012064,0.0005332,0.0001558,4.16e-05,0.0001604,0.0001338,0.0001506,0.0001303,0.000344,0.0003743,0.000518,0.0007524,0.0027447,0.0044237,0.0044395,0.0094786,0.0377374,0.03987,0.0333402,0.0293214,0.0240064,0.0206223,0.0189688,0.0156142,0.014091,0.0105317,0.0089572,0.0085999,0.0099672
