State/Province,Common Name,Position
US-WA,Hooded Merganser,1
US-WA,Common Merganser,2
US-WA,Double-crested Cormorant,3
US-WA,American Crow,4
US-WA,Varied Thrush,5
US-WA,Dark-eyed Junco,6
US-WA,Song Sparrow,7
US-WA,Trumpeter Swan,8
US-WA,Wood Duck,9
US-WA,Gadwall,10
US-WA,Mallard,11
US-WA,Green-winged Teal,12
US-WA,Ring-necked Duck,13
US-WA,Bufflehead,14
US-WA,Anna's Hummingbird,15
US-WA,American Coot,16
US-WA,Killdeer,17
US-WA,Wilson's Snipe,18
US-WA,Pied-billed Grebe,19
US-WA,Great Blue Heron,20
US-WA,Cooper's Hawk,21
US-WA,Bald Eagle,22
US-WA,Northern Flicker,23
US-WA,Marsh Wren,24
US-WA,Golden-crowned Sparrow,25
US-WA,Red-winged Blackbird,26
US-WA,Canada Goose,27
US-WA,Rock Pigeon (Feral Pigeon),28
US-WA,Black-capped Chickadee,29
US-WA,American Wigeon,30
US-WA,Surf Scoter,31
US-WA,Common Goldeneye,32
US-WA,Glaucous-winged Gull,33
US-WA,Bushtit,34
US-WA,Red-tailed Hawk,35
US-WA,American Robin,36
US-WA,Lesser Scaup,37
US-WA,Belted Kingfisher,38
US-WA,European Starling,39
US-WA,Spotted Towhee,40
US-WA,Brant,41
US-WA,Red-breasted Merganser,42
US-WA,Pigeon Guillemot,43
US-WA,Ring-billed Gull,44
US-WA,Horned Grebe,45
US-WA,Red-necked Grebe,46
US-WA,Pacific Loon,47
US-WA,Pelagic Cormorant,48
US-WA,Steller's Jay,49
US-WA,Chestnut-backed Chickadee,50
US-WA,Barrow's Goldeneye,51
US-WA,Brown Creeper,52
US-WA,Northern Shoveler,53
US-WA,Red-breasted Nuthatch,54
US-WA,Common Raven,55
US-WA,Black Scoter,56
US-WA,House Finch,57
US-WA,Northern Harrier,58
US-WA,Short-eared Owl,59
US-WA,Mourning Dove,60
US-WA,Long-billed Dowitcher,61
US-WA,Dunlin,62
US-WA,Snow Goose,63
US-WA,Northern Pintail,64
US-WA,Downy Woodpecker,65
US-WA,Black Phoebe,66
US-WA,Ruby-crowned Kinglet,67
US-WA,Bewick's Wren,68
US-WA,Yellow-rumped Warbler,69
US-WA,California Scrub-Jay,70
US-WA,American Goldfinch,71
US-WA,White-crowned Sparrow,72
US-WA,Mallard (Domestic type),73
US-WA,Redhead,74
US-WA,Greater Scaup,75
US-WA,Short-billed Gull,76
US-WA,House Sparrow,77
US-WA,Eurasian Wigeon,78
US-WA,gull sp.,79
US-WA,Golden-crowned Kinglet,80
US-WA,Pacific Wren,81
US-WA,California Gull,82
US-WA,Harlequin Duck,83
US-WA,Larus sp.,84
US-WA,Townsend's Warbler,85
US-WA,Fox Sparrow,86
US-WA,Cinnamon Teal,87
US-WA,Ruddy Duck,88
US-WA,Eurasian Collared-Dove,89
US-WA,Greater Yellowlegs,90
US-WA,Tree Swallow,91
US-WA,Western/Glaucous-winged Gull,92
US-WA,Green Heron,93
US-WA,Pileated Woodpecker,94
US-WA,Barn Swallow,95
US-WA,Hairy Woodpecker,96
US-WA,Western x Glaucous-winged Gull (hybrid),97
US-WA,Greater/Lesser Scaup,98
US-WA,Horned Lark,99
US-WA,Mountain Bluebird,100
US-WA,American Kestrel,101
US-WA,Black-billed Magpie,102
US-WA,Burrowing Owl,103
US-WA,Western Meadowlark,104
US-WA,Sandhill Crane,105
US-WA,Say's Phoebe,106
US-WA,Ring-necked Pheasant,107
US-WA,Great Horned Owl,108
US-WA,California Quail,109
US-WA,Black-crowned Night Heron,110
US-WA,Brown-headed Cowbird,111
US-WA,Canyon Wren,112
US-WA,Yellow-headed Blackbird,113
US-WA,Tricolored Blackbird,114
US-WA,American White Pelican,115
US-WA,Violet-green Swallow,116
US-WA,Long-billed Curlew,117
US-WA,Brewer's Blackbird,118
US-WA,Chukar,119
US-WA,Loggerhead Shrike,120
US-WA,Osprey,121
US-WA,Band-tailed Pigeon,122
US-WA,Savannah Sparrow,123
US-WA,Lincoln's Sparrow,124
US-WA,Black-bellied Plover,125
US-WA,Orange-crowned Warbler,126
US-WA,White-winged Scoter,127
US-WA,Black Oystercatcher,128
US-WA,Hudsonian Whimbrel,129
US-WA,Caspian Tern,130
