ML Catalog Number,Common Name,Scientific Name,Date,Time,Country,State,County,Locality,Latitude,Longitude,eBird Checklist ID
662621240,Dark-eyed Junco,Junco hyemalis,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621237,American Goldfinch,Spinus tristis,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621238,American Goldfinch,Spinus tristis,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621239,American Goldfinch,Spinus tristis,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621227,American Kestrel,Falco sparverius,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621228,American Kestrel,Falco sparverius,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621216,Anna's Hummingbird,Calypte anna,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621212,Pied-billed Grebe,Podilymbus podiceps,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621211,Pied-billed Grebe,Podilymbus podiceps,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621207,Mallard,Anas platyrhynchos,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662621204,Wood Duck,Aix sponsa,2026-08-07,932,United States,Washington,King,Frager Rd. (north),47.418883,-122.2678757,S380906489
662526261,Glaucous-winged Gull,Larus glaucescens,2026-08-05,1446,United States,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,S380318688
662526259,Wandering Tattler,Tringa incana,2026-08-05,1446,United States,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,S380318688
662526255,Least Sandpiper,Calidris minutilla,2026-08-05,1446,United States,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,S380318688
662526254,Least Sandpiper,Calidris minutilla,2026-08-05,1446,United States,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,S380318688
662526250,Killdeer,Charadrius vociferus,2026-08-05,1446,United States,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,S380318688
662363419,Orange-crowned Warbler,Leiothlypis celata,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363381,Townsend's Warbler,Setophaga townsendi,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363380,Townsend's Warbler,Setophaga townsendi,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363377,Townsend's Warbler,Setophaga townsendi,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363378,Townsend's Warbler,Setophaga townsendi,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363358,Common Yellowthroat,Geothlypis trichas,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363351,Red-winged Blackbird,Agelaius phoeniceus,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363344,House Finch,Haemorhous mexicanus,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363343,House Finch,Haemorhous mexicanus,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363337,Cedar Waxwing,Bombycilla cedrorum,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363331,American Robin,Turdus migratorius,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363332,American Robin,Turdus migratorius,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363326,Tree Swallow,Tachycineta bicolor,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363325,Tree Swallow,Tachycineta bicolor,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363324,Tree Swallow,Tachycineta bicolor,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363313,Western Wood-Pewee,Contopus sordidulus,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363311,Hairy Woodpecker,Leuconotopicus villosus,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363307,Rufous Hummingbird,Selasphorus rufus,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363306,Rufous Hummingbird,Selasphorus rufus,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662363299,Band-tailed Pigeon,Patagioenas fasciata,2026-08-02,725,United States,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,S379333332
662359436,Brown-headed Cowbird,Molothrus ater,2026-08-02,1458,United States,Washington,Snohomish,Edmonds Marina,47.8079405,-122.3924276,S379365619
662359430,Heermann's Gull,Larus heermanni,2026-08-02,1458,United States,Washington,Snohomish,Edmonds Marina,47.8079405,-122.3924276,S379365619
662359429,Heermann's Gull,Larus heermanni,2026-08-02,1458,United States,Washington,Snohomish,Edmonds Marina,47.8079405,-122.3924276,S379365619
662359427,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2026-08-02,1458,United States,Washington,Snohomish,Edmonds Marina,47.8079405,-122.3924276,S379365619
662145476,Common Yellowthroat,Geothlypis trichas,2026-07-26,1923,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S376877165
662145463,Long-billed Dowitcher,Limnodromus scolopaceus,2026-07-26,1923,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S376877165
662145464,Long-billed Dowitcher,Limnodromus scolopaceus,2026-07-26,1923,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S376877165
661835303,Red-winged Blackbird,Agelaius phoeniceus,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835278,Brewer's Blackbird,Euphagus cyanocephalus,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835274,American Goldfinch,Spinus tristis,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835275,American Goldfinch,Spinus tristis,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835276,American Goldfinch,Spinus tristis,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835272,House Finch,Haemorhous mexicanus,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835260,Cedar Waxwing,Bombycilla cedrorum,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835261,Cedar Waxwing,Bombycilla cedrorum,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835253,Tree Swallow,Tachycineta bicolor,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835252,Northern Harrier,Circus hudsonius,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835236,Spotted Sandpiper,Actitis macularius,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835235,Spotted Sandpiper,Actitis macularius,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835230,Virginia Rail,Rallus limicola,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835233,Virginia Rail,Rallus limicola,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
661835231,Virginia Rail,Rallus limicola,2026-07-23,1441,United States,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,S375605391
