state,county,name,observations,count
US-CA,Alameda,American Avocet,1,9
US-CA,Alameda,American Crow,2,10
US-CA,Alameda,Anna's Hummingbird,1,1
US-CA,Alameda,Barn Swallow,1,1
US-CA,Alameda,Black Oystercatcher,1,2
US-CA,Alameda,Black Phoebe,2,7
US-CA,Alameda,Black-bellied Plover,1,10
US-CA,Alameda,Black-crowned Night Heron,1,4
US-CA,Alameda,Brown Pelican,2,8
US-CA,Alameda,Brown-headed Cowbird,1,1
US-CA,Alameda,Bushtit,1,5
US-CA,Alameda,California Towhee,2,5
US-CA,Alameda,Canada Goose,1,2
US-CA,Alameda,Caspian Tern,2,3
US-CA,Alameda,Cliff Swallow,1,1
US-CA,Alameda,Double-crested Cormorant,2,3
US-CA,Alameda,European Starling,2,34
US-CA,Alameda,Great Blue Heron,1,5
US-CA,Alameda,House Finch,2,21
US-CA,Alameda,House Sparrow,1,1
US-CA,Alameda,Killdeer,1,3
US-CA,Alameda,Long-billed Curlew,1,1
US-CA,Alameda,Mallard,1,10
US-CA,Alameda,Marbled Godwit,1,20
US-CA,Alameda,Northern Mockingbird,1,2
US-CA,Alameda,Orange-crowned Warbler,1,1
US-CA,Alameda,Red-winged Blackbird,1,5
US-CA,Alameda,Rock Pigeon,1,8
US-CA,Alameda,Rock Pigeon (Feral Pigeon),1,10
US-CA,Alameda,Savannah Sparrow,1,3
US-CA,Alameda,Snowy Egret,2,8
US-CA,Alameda,Song Sparrow,2,3
US-CA,Alameda,Spotted Towhee,1,1
US-CA,Alameda,Tree Swallow,1,1
US-CA,Alameda,Western Gull,1,2
US-CA,Alameda,White-crowned Sparrow,2,4
US-CA,Siskiyou,American Robin,1,1
US-CA,Siskiyou,Brewer's Blackbird,1,1
US-CA,Siskiyou,Cedar Waxwing,1,1
US-CA,Siskiyou,Lesser Goldfinch,1,1
US-CA,Siskiyou,Ring-billed Gull,1,30
US-HI,Kauai,American Barn Owl,1,1
US-HI,Kauai,Black-crowned Night Heron,1,2
US-HI,Kauai,Black-necked Stilt,2,8
US-HI,Kauai,Brown Booby,1,1
US-HI,Kauai,Chestnut Munia,1,1
US-HI,Kauai,Common Gallinule,2,5
US-HI,Kauai,Common Myna,5,31
US-HI,Kauai,Dunlin,1,1
US-HI,Kauai,Erckel's Spurfowl,1,1
US-HI,Kauai,Great Frigatebird,1,1
US-HI,Kauai,Hawaiian Coot,1,3
US-HI,Kauai,Hawaiian Duck,2,2
US-HI,Kauai,Hawaiian Goose,4,12
US-HI,Kauai,House Finch,2,2
US-HI,Kauai,House Sparrow,4,27
US-HI,Kauai,Java Sparrow,2,9
US-HI,Kauai,Laysan Albatross,1,1
US-HI,Kauai,Northern Cardinal,3,5
US-HI,Kauai,Northern Mockingbird,2,2
US-HI,Kauai,Pacific Golden-Plover,3,5
US-HI,Kauai,Red-crested Cardinal,5,9
US-HI,Kauai,Red-footed Booby,1,1
US-HI,Kauai,Red-tailed Tropicbird,1,1
US-HI,Kauai,Rock Pigeon (Feral Pigeon),1,1
US-HI,Kauai,Rose-ringed Parakeet,1,1
US-HI,Kauai,Ruddy Turnstone,1,8
