state,date,name,count
US-CA,2026-06-11,American Robin,1
US-CA,2026-06-11,Brewer's Blackbird,1
US-CA,2026-06-11,Cedar Waxwing,1
US-CA,2026-06-11,Lesser Goldfinch,1
US-CA,2026-06-11,Ring-billed Gull,30
US-CA,2026-06-12,American Crow,8
US-CA,2026-06-12,Anna's Hummingbird,1
US-CA,2026-06-12,Barn Swallow,1
US-CA,2026-06-12,Black Oystercatcher,2
US-CA,2026-06-12,Black Phoebe,4
US-CA,2026-06-12,Black-crowned Night Heron,4
US-CA,2026-06-12,Brown Pelican,6
US-CA,2026-06-12,California Towhee,1
US-CA,2026-06-12,Caspian Tern,2
US-CA,2026-06-12,Double-crested Cormorant,2
US-CA,2026-06-12,European Starling,4
US-CA,2026-06-12,Great Blue Heron,5
US-CA,2026-06-12,House Finch,10
US-CA,2026-06-12,Orange-crowned Warbler,1
US-CA,2026-06-12,Red-winged Blackbird,5
US-CA,2026-06-12,Rock Pigeon (Feral Pigeon),10
US-CA,2026-06-12,Savannah Sparrow,3
US-CA,2026-06-12,Snowy Egret,1
US-CA,2026-06-12,Song Sparrow,2
US-CA,2026-06-12,Western Gull,2
US-CA,2026-06-12,White-crowned Sparrow,2
US-CA,2026-06-13,American Avocet,9
US-CA,2026-06-13,American Crow,2
US-CA,2026-06-13,Black Phoebe,3
US-CA,2026-06-13,Black-bellied Plover,10
US-CA,2026-06-13,Brown Pelican,2
US-CA,2026-06-13,Brown-headed Cowbird,1
US-CA,2026-06-13,Bushtit,5
US-CA,2026-06-13,California Towhee,4
US-CA,2026-06-13,Canada Goose,2
US-CA,2026-06-13,Caspian Tern,1
US-CA,2026-06-13,Cliff Swallow,1
US-CA,2026-06-13,Double-crested Cormorant,1
US-CA,2026-06-13,European Starling,30
US-CA,2026-06-13,House Finch,11
US-CA,2026-06-13,House Sparrow,1
US-CA,2026-06-13,Killdeer,3
US-CA,2026-06-13,Long-billed Curlew,1
US-CA,2026-06-13,Mallard,10
US-CA,2026-06-13,Marbled Godwit,20
US-CA,2026-06-13,Northern Mockingbird,2
US-CA,2026-06-13,Rock Pigeon,8
US-CA,2026-06-13,Snowy Egret,7
US-CA,2026-06-13,Song Sparrow,1
US-CA,2026-06-13,Spotted Towhee,1
US-CA,2026-06-13,Tree Swallow,1
US-CA,2026-06-13,White-crowned Sparrow,2
US-HI,2026-03-25,Common Myna,8
US-HI,2026-03-25,Hawaiian Goose,5
US-HI,2026-03-25,House Finch,1
US-HI,2026-03-25,House Sparrow,6
US-HI,2026-03-25,Northern Cardinal,1
US-HI,2026-03-25,Pacific Golden-Plover,1
US-HI,2026-03-25,Red-crested Cardinal,3
US-HI,2026-03-25,Spotted Dove,4
US-HI,2026-03-25,Warbling White-eye,2
US-HI,2026-03-25,Western Cattle-Egret,4
US-HI,2026-03-25,White-rumped Shama,1
US-HI,2026-03-25,Zebra Dove,15
US-HI,2026-03-26,Common Myna,4
US-HI,2026-03-26,House Sparrow,10
US-HI,2026-03-26,Java Sparrow,5
US-HI,2026-03-26,Red-crested Cardinal,1
US-HI,2026-03-26,Scaly-breasted Munia,1
US-HI,2026-03-26,Western Cattle-Egret,1
US-HI,2026-03-26,Zebra Dove,10
US-HI,2026-03-27,Common Gallinule,2
US-HI,2026-03-27,Common Myna,12
US-HI,2026-03-27,Hawaiian Goose,2
US-HI,2026-03-27,Laysan Albatross,1
US-HI,2026-03-27,Northern Cardinal,1
US-HI,2026-03-27,Pacific Golden-Plover,1
US-HI,2026-03-27,Red-crested Cardinal,1
US-HI,2026-03-27,Red-footed Booby,1
US-HI,2026-03-27,Red-tailed Tropicbird,1
US-HI,2026-03-27,Rock Pigeon (Feral Pigeon),1
US-HI,2026-03-27,Wedge-tailed Shearwater,1
US-HI,2026-03-27,White-rumped Shama,1
US-HI,2026-03-27,White-tailed Tropicbird,3
US-HI,2026-03-27,Zebra Dove,2
